iter	Passed	Remaining
0	21	21489
1	40	20299
2	57	18980
3	72	18034
4	88	17560
5	103	17123
6	117	16728
7	133	16553
8	149	16438
9	165	16397
10	184	16621
11	199	16456
12	215	16374
13	231	16293
14	248	16295
15	263	16231
16	281	16277
17	296	16173
18	311	16070
19	326	16021
20	341	15942
21	358	15938
22	373	15866
23	388	15806
24	405	15795
25	420	15756
26	438	15793
27	453	15737
28	468	15694
29	484	15652
30	500	15641
31	518	15676
32	534	15669
33	551	15666
34	567	15656
35	588	15748
36	605	15766
37	624	15799
38	644	15868
39	664	15940
40	685	16038
41	705	16096
42	727	16191
43	748	16259
44	769	16332
45	792	16441
46	820	16645
47	847	16810
48	871	16919
49	897	17060
50	930	17310
51	962	17555
52	989	17674
53	1020	17881
54	1052	18084
55	1079	18193
56	1104	18268
57	1130	18362
58	1160	18505
59	1195	18733
60	1227	18900
61	1258	19041
62	1290	19186
63	1323	19362
64	1351	19439
65	1376	19485
66	1410	19637
67	1450	19878
68	1489	20093
69	1523	20241
70	1554	20337
71	1582	20396
72	1610	20455
73	1639	20510
74	1666	20558
75	1697	20643
76	1725	20678
77	1750	20687
78	1786	20823
79	1821	20945
80	1852	21018
81	1891	21173
82	1926	21287
83	1961	21393
84	1991	21440
85	2026	21533
86	2063	21656
87	2096	21727
88	2133	21835
89	2175	21996
90	2232	22296
91	2274	22448
92	2309	22523
93	2347	22625
94	2388	22753
95	2434	22923
96	2477	23060
97	2581	23760
98	2609	23750
99	2638	23744
100	2666	23733
101	2699	23767
102	2729	23767
103	2756	23747
104	2786	23749
105	2814	23733
106	2843	23729
107	2872	23726
108	2905	23750
109	2947	23851
110	2993	23978
111	3035	24063
112	3081	24185
113	3120	24252
114	3155	24285
115	3192	24326
116	3224	24338
117	3255	24334
118	3286	24329
119	3315	24317
120	3343	24290
121	3372	24271
122	3401	24251
123	3433	24257
124	3467	24271
125	3495	24248
126	3525	24235
127	3554	24214
128	3582	24189
129	3618	24212
130	3647	24197
131	3683	24218
132	3726	24291
133	3754	24264
134	3784	24246
135	3812	24221
136	3845	24220
137	3876	24216
138	3909	24213
139	3948	24258
140	3981	24255
141	4013	24253
142	4043	24235
143	4076	24233
144	4108	24223
145	4140	24221
146	4173	24219
147	4204	24201
148	4232	24175
149	4263	24158
150	4289	24116
151	4316	24081
152	4343	24043
153	4368	23999
154	4394	23956
155	4422	23928
156	4451	23900
157	4476	23853
158	4500	23802
159	4525	23757
160	4551	23717
161	4576	23672
162	4601	23630
163	4626	23582
164	4653	23549
165	4684	23535
166	4710	23497
167	4736	23457
168	4768	23447
169	4800	23437
170	4832	23428
171	4863	23413
172	4893	23390
173	4927	23391
174	4960	23384
175	4989	23361
176	5016	23324
177	5044	23297
178	5074	23274
179	5100	23233
180	5129	23212
181	5158	23184
182	5187	23158
183	5211	23111
184	5236	23068
185	5262	23030
186	5289	22995
187	5313	22950
188	5338	22906
189	5362	22860
190	5388	22822
191	5416	22793
192	5444	22765
193	5471	22733
194	5498	22700
195	5524	22663
196	5550	22623
197	5575	22585
198	5602	22552
199	5627	22509
200	5659	22499
201	5696	22503
202	5725	22480
203	5756	22460
204	5802	22501
205	5854	22567
206	5888	22560
207	5925	22561
208	5956	22543
209	5984	22512
210	6011	22477
211	6037	22440
212	6068	22423
213	6111	22447
214	6137	22408
215	6166	22383
216	6196	22359
217	6221	22317
218	6245	22272
219	6270	22230
220	6295	22190
221	6321	22154
222	6348	22120
223	6374	22082
224	6399	22043
225	6438	22049
226	6473	22045
227	6504	22023
228	6533	21996
229	6564	21975
230	6595	21957
231	6626	21936
232	6654	21906
233	6685	21883
234	6712	21851
235	6740	21820
236	6769	21792
237	6795	21756
238	6820	21717
239	6846	21681
240	6872	21643
241	6901	21616
242	6928	21585
243	6959	21562
244	6984	21522
245	7008	21480
246	7033	21443
247	7058	21402
248	7084	21368
249	7110	21332
250	7138	21301
251	7174	21297
252	7208	21282
253	7239	21263
254	7271	21244
255	7303	21225
256	7334	21205
257	7365	21182
258	7396	21161
259	7428	21143
260	7456	21113
261	7486	21087
262	7512	21053
263	7538	21016
264	7564	20979
265	7591	20948
266	7618	20914
267	7644	20880
268	7671	20845
269	7697	20812
270	7723	20776
271	7748	20737
272	7774	20702
273	7798	20662
274	7826	20634
275	7852	20599
276	7878	20562
277	7909	20541
278	7935	20506
279	7963	20477
280	7990	20446
281	8017	20414
282	8045	20383
283	8072	20351
284	8097	20315
285	8125	20285
286	8155	20260
287	8182	20229
288	8212	20204
289	8240	20175
290	8268	20146
291	8296	20115
292	8324	20086
293	8352	20057
294	8384	20037
295	8427	20044
296	8462	20030
297	8496	20014
298	8530	19998
299	8561	19977
300	8598	19969
301	8635	19959
302	8678	19964
303	8714	19951
304	8748	19934
305	8779	19910
306	8808	19884
307	8842	19866
308	8875	19847
309	8906	19824
310	8937	19800
311	8967	19773
312	8994	19742
313	9020	19706
314	9048	19676
315	9074	19642
316	9102	19612
317	9130	19582
318	9166	19569
319	9195	19540
320	9222	19508
321	9249	19475
322	9275	19441
323	9300	19404
324	9325	19368
325	9350	19332
326	9378	19301
327	9404	19268
328	9437	19248
329	9471	19229
330	9503	19208
331	9530	19176
332	9561	19152
333	9603	19149
334	9646	19148
335	9694	19157
336	9732	19146
337	9766	19128
338	9801	19111
339	9831	19085
340	9859	19054
341	9886	19021
342	9917	18997
343	9945	18965
344	9971	18931
345	10001	18904
346	10034	18883
347	10073	18873
348	10103	18846
349	10143	18838
350	10190	18842
351	10226	18825
352	10261	18808
353	10298	18792
354	10331	18771
355	10364	18750
356	10405	18741
357	10435	18713
358	10467	18690
359	10495	18659
360	10524	18628
361	10562	18615
362	10596	18595
363	10628	18571
364	10672	18567
365	10703	18540
366	10733	18513
367	10761	18482
368	10789	18450
369	10823	18429
370	10853	18400
371	10885	18377
372	10927	18369
373	10963	18351
374	11003	18338
375	11041	18324
376	11072	18297
377	11109	18280
378	11144	18260
379	11178	18239
380	11207	18208
381	11233	18174
382	11271	18157
383	11307	18139
384	11350	18131
385	11394	18124
386	11428	18102
387	11456	18071
388	11484	18039
389	11511	18005
390	11538	17971
391	11564	17936
392	11592	17905
393	11619	17871
394	11654	17851
395	11683	17820
396	11711	17789
397	11750	17772
398	11790	17759
399	11827	17740
400	11872	17734
401	11918	17729
402	11951	17704
403	11984	17679
404	12018	17657
405	12049	17629
406	12081	17603
407	12109	17570
408	12139	17541
409	12167	17509
410	12193	17473
411	12218	17438
412	12242	17400
413	12266	17363
414	12292	17328
415	12321	17297
416	12346	17261
417	12376	17232
418	12405	17201
419	12431	17167
420	12458	17134
421	12485	17100
422	12511	17066
423	12536	17030
424	12564	16998
425	12594	16970
426	12626	16943
427	12662	16922
428	12692	16893
429	12722	16864
430	12754	16837
431	12784	16809
432	12814	16780
433	12842	16748
434	12870	16716
435	12904	16693
436	12931	16659
437	12962	16632
438	12986	16596
439	13013	16562
440	13039	16529
441	13066	16496
442	13091	16460
443	13117	16425
444	13151	16402
445	13177	16368
446	13202	16332
447	13226	16297
448	13252	16263
449	13278	16228
450	13307	16199
451	13333	16164
452	13360	16133
453	13391	16105
454	13422	16077
455	13454	16051
456	13483	16021
457	13515	15994
458	13545	15964
459	13576	15937
460	13606	15908
461	13640	15884
462	13671	15857
463	13701	15827
464	13727	15793
465	13775	15785
466	13812	15764
467	13845	15739
468	13879	15713
469	13905	15680
470	13931	15646
471	13956	15612
472	13980	15576
473	14004	15541
474	14043	15521
475	14083	15503
476	14116	15477
477	14141	15443
478	14168	15411
479	14194	15377
480	14219	15342
481	14244	15308
482	14269	15274
483	14294	15239
484	14320	15206
485	14351	15178
486	14380	15148
487	14405	15113
488	14430	15079
489	14458	15049
490	14486	15017
491	14515	14987
492	14541	14954
493	14572	14926
494	14614	14909
495	14645	14881
496	14675	14852
497	14709	14827
498	14740	14799
499	14770	14770
500	14801	14741
501	14835	14717
502	14868	14690
503	14896	14659
504	14923	14627
505	14949	14594
506	14973	14560
507	14998	14526
508	15025	14494
509	15052	14461
510	15077	14428
511	15106	14398
512	15133	14366
513	15159	14334
514	15186	14301
515	15212	14269
516	15239	14237
517	15266	14205
518	15291	14171
519	15322	14144
520	15361	14122
521	15397	14099
522	15430	14073
523	15460	14044
524	15489	14014
525	15518	13984
526	15548	13955
527	15579	13927
528	15616	13904
529	15646	13875
530	15673	13843
531	15704	13815
532	15737	13788
533	15769	13761
534	15800	13733
535	15838	13711
536	15873	13686
537	15900	13654
538	15933	13627
539	15962	13597
540	15988	13564
541	16015	13532
542	16042	13501
543	16068	13469
544	16098	13440
545	16128	13411
546	16154	13378
547	16182	13347
548	16211	13317
549	16237	13285
550	16266	13255
551	16292	13223
552	16320	13191
553	16348	13161
554	16376	13130
555	16401	13097
556	16427	13065
557	16453	13032
558	16481	13002
559	16508	12971
560	16534	12938
561	16561	12907
562	16594	12880
563	16625	12852
564	16658	12825
565	16689	12797
566	16724	12772
567	16755	12743
568	16784	12713
569	16815	12685
570	16857	12665
571	16900	12645
572	16933	12618
573	16979	12601
574	17019	12579
575	17060	12558
576	17118	12549
577	17151	12522
578	17182	12493
579	17215	12466
580	17252	12441
581	17285	12414
582	17318	12387
583	17363	12368
584	17399	12343
585	17430	12314
586	17457	12282
587	17487	12253
588	17521	12226
589	17555	12199
590	17593	12175
591	17628	12149
592	17665	12124
593	17694	12093
594	17720	12062
595	17748	12030
596	17774	11998
597	17803	11968
598	17844	11945
599	17879	11919
600	17911	11891
601	17943	11862
602	17974	11834
603	18006	11805
604	18039	11777
605	18071	11749
606	18104	11721
607	18136	11693
608	18165	11663
